Severity	Code	Description	Project	File	Line	Suppression State	Details
Error	LNK1120	443 unresolved externals	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\build\Release\Win32\SidecarK32.dll	1		
Error	LNK2001	unresolved external symbol "bool SK_GameInput_EmulatedPlayStation" (?SK_GameInput_EmulatedPlayStation@@3_NA)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_input.obj	1		
Error	LNK2001	unresolved external symbol "bool SK_WGI_EmulatedPlayStation" (?SK_WGI_EmulatedPlayStation@@3_NA)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_input.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK::D3D8::Shutdown(void)" (?Shutdown@D3D8@SK@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\SpecialK.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK::D3D8::Startup(void)" (?Startup@D3D8@SK@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\SpecialK.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK::D3D9::Shutdown(void)" (?Shutdown@D3D9@SK@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\SpecialK.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK::D3D9::Startup(void)" (?Startup@D3D9@SK@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\SpecialK.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK::DDraw::Shutdown(void)" (?Shutdown@DDraw@SK@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\SpecialK.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK::DDraw::Startup(void)" (?Startup@DDraw@SK@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\SpecialK.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK::DI8::Shutdown(void)" (?Shutdown@DI8@SK@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\SpecialK.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK::DI8::Startup(void)" (?Startup@DI8@SK@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\SpecialK.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK::Diagnostics::Debugger::Allow(bool)" (?Allow@Debugger@Diagnostics@SK@@YA_N_N@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\load_library.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK::Galaxy::IsLoggedOn(void)" (?IsLoggedOn@Galaxy@SK@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_galaxy.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK::Galaxy::IsSignedIn(void)" (?IsSignedIn@Galaxy@SK@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_galaxy.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK::SteamAPI::SetWindowFocusState(bool)" (?SetWindowFocusState@SteamAPI@SK@@YA_N_N@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\input.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_AVIF_CopyToClipboard(wchar_t const *)" (?SK_AVIF_CopyToClipboard@@YA_NPB_W@Z)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\d3d11_screenshot.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_CPU_IsZen(void)" (?SK_CPU_IsZen@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\framerate.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_CPU_TestForMWAITX(void)" (?SK_CPU_TestForMWAITX@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\SpecialK.obj	1		
Error	LNK2001	unresolved external symbol "bool __cdecl SK_D3D9_TextureModDlg(void)" (?SK_D3D9_TextureModDlg@@YA_NXZ)	SpecialK	D:\Dropbox\Dropbox\development\VIRULE\SidecarK\SidecarK\cfg_d3d9.obj	1		
